four_hour_close_local,total_signals,win_rate_all_pct,win_rate_last_30m_pct,win_rate_last_1h_pct,win_rate_first_2h_pct
"2025-10-27 15:00:00",1,0.0,,,0.0
"2025-10-27 15:00:08",1,0.0,0.0,0.0,
"2025-10-27 15:00:30",1,100.0,100.0,100.0,
"2025-10-27 15:00:33",1,0.0,,,0.0
"2025-10-27 15:00:50",1,100.0,,,
"2025-10-27 15:00:58",1,100.0,,,100.0
"2025-10-27 19:00:00",1,100.0,,,
"2025-10-27 19:00:09",1,100.0,,,
"2025-10-27 19:00:14",1,0.0,,,0.0
"2025-10-27 19:00:38",1,100.0,,,100.0
"2025-10-27 19:00:39",1,100.0,,,100.0
"2025-10-27 19:00:48",1,100.0,,100.0,
"2025-10-27 19:00:50",1,0.0,,,
"2025-10-27 19:00:53",2,100.0,100.0,100.0,
"2025-10-27 23:00:00",2,50.0,,,50.0
"2025-10-27 23:00:08",1,100.0,,,100.0
"2025-10-27 23:00:12",1,0.0,,0.0,
"2025-10-27 23:00:18",1,0.0,,0.0,
"2025-10-27 23:00:27",2,0.0,,,0.0
"2025-10-27 23:00:28",1,100.0,,100.0,
"2025-10-27 23:00:30",1,100.0,,,
"2025-10-27 23:00:32",1,100.0,,,
"2025-10-27 23:00:49",1,100.0,100.0,100.0,
"2025-10-27 23:00:50",1,100.0,,,
"2025-10-28 03:00:15",1,100.0,,,100.0
"2025-10-28 03:00:16",1,100.0,,,
"2025-10-28 03:00:21",1,100.0,,,
"2025-10-28 03:00:25",1,0.0,,,0.0
"2025-10-28 03:00:50",1,100.0,,,100.0
"2025-10-28 03:00:53",1,0.0,,,0.0
"2025-10-28 07:00:42",1,100.0,100.0,100.0,
"2025-10-28 11:00:12",1,0.0,,,0.0
"2025-10-28 11:00:21",1,100.0,,100.0,
"2025-10-28 11:00:24",1,0.0,,,0.0
"2025-10-28 11:00:25",1,0.0,,,0.0
"2025-10-28 11:00:30",1,0.0,,0.0,
"2025-10-28 11:00:34",1,100.0,,,100.0
"2025-10-28 11:00:38",1,100.0,,,100.0
"2025-10-28 11:00:40",1,100.0,,,
"2025-10-28 11:00:42",1,100.0,,,
"2025-10-28 11:00:49",1,0.0,,0.0,
"2025-10-28 15:00:13",1,0.0,,,
"2025-10-28 15:00:15",1,100.0,,,100.0
"2025-10-28 15:00:19",1,100.0,100.0,100.0,
"2025-10-28 15:00:41",1,0.0,,,0.0
"2025-10-28 15:00:46",1,100.0,,,100.0
"2025-10-28 19:00:07",2,50.0,,,0.0
"2025-10-28 19:00:12",1,0.0,,,0.0
"2025-10-28 19:00:19",1,0.0,,,0.0
"2025-10-28 19:00:22",1,0.0,,,0.0
"2025-10-28 19:00:35",1,0.0,,,
"2025-10-28 19:00:37",1,100.0,,,
"2025-10-28 19:00:49",1,0.0,,,0.0
"2025-10-28 19:00:50",1,0.0,,,0.0
"2025-10-28 19:00:51",1,100.0,,,100.0
"2025-10-28 19:00:54",1,100.0,100.0,100.0,
"2025-10-28 23:00:03",1,0.0,,,
"2025-10-28 23:00:04",1,100.0,,100.0,
"2025-10-28 23:00:18",1,0.0,,0.0,
"2025-10-28 23:00:21",1,0.0,,,0.0
"2025-10-28 23:00:31",1,0.0,,,0.0
"2025-10-28 23:00:35",1,0.0,,,0.0
"2025-10-28 23:00:38",1,100.0,,100.0,
"2025-10-28 23:00:55",1,0.0,,,
"2025-10-29 03:00:03",1,100.0,,,
"2025-10-29 03:00:06",1,0.0,,,0.0
"2025-10-29 03:00:10",1,100.0,,,100.0
"2025-10-29 03:00:14",1,100.0,,,100.0
"2025-10-29 03:00:21",1,0.0,,,0.0
"2025-10-29 03:00:36",1,100.0,,,100.0
"2025-10-29 03:00:47",1,0.0,,,0.0
"2025-10-29 07:00:02",1,0.0,0.0,0.0,
"2025-10-29 07:00:38",1,100.0,,,100.0
"2025-10-29 07:00:43",1,100.0,,,
"2025-10-29 11:00:04",1,0.0,,,0.0
"2025-10-29 11:00:17",1,0.0,,0.0,
"2025-10-29 11:00:18",1,100.0,,,
"2025-10-29 11:00:20",1,0.0,,,0.0
"2025-10-29 11:00:23",2,0.0,,,0.0
"2025-10-29 11:00:43",1,100.0,,100.0,
"2025-10-29 11:00:47",1,0.0,,,0.0
"2025-10-29 11:00:54",1,100.0,,,
"2025-10-29 15:00:07",1,100.0,,,
"2025-10-29 15:00:09",2,100.0,,,100.0
"2025-10-29 15:00:11",1,100.0,,,
"2025-10-29 15:00:13",1,100.0,,100.0,
"2025-10-29 15:00:15",1,100.0,,,100.0
"2025-10-29 15:00:19",1,0.0,,,0.0
"2025-10-29 15:00:22",1,100.0,,,
"2025-10-29 15:00:23",1,100.0,,,100.0
"2025-10-29 15:00:27",1,0.0,,,
"2025-10-29 15:00:29",1,0.0,,,0.0
"2025-10-29 15:00:44",1,100.0,100.0,100.0,
"2025-10-29 19:00:02",1,0.0,0.0,0.0,
"2025-10-29 19:00:03",1,0.0,0.0,0.0,
"2025-10-29 19:00:07",3,0.0,0.0,0.0,
"2025-10-29 19:00:09",2,0.0,0.0,0.0,0.0
"2025-10-29 19:00:12",1,0.0,0.0,0.0,
"2025-10-29 19:00:23",2,50.0,,,50.0
"2025-10-29 19:00:28",1,100.0,,,
"2025-10-29 19:00:29",1,100.0,,,100.0
"2025-10-29 19:00:39",1,100.0,,,100.0
"2025-10-29 19:00:42",1,0.0,,,
"2025-10-29 19:00:44",1,100.0,,,100.0
"2025-10-29 19:00:49",1,0.0,,,0.0
"2025-10-29 23:00:03",2,50.0,,,100.0
"2025-10-29 23:00:11",1,100.0,,,
"2025-10-29 23:00:12",1,0.0,,,0.0
"2025-10-29 23:00:23",1,0.0,,,
"2025-10-29 23:00:35",1,0.0,,,0.0
"2025-10-29 23:00:37",1,0.0,,,
"2025-10-29 23:00:38",1,100.0,,,100.0
"2025-10-29 23:00:44",1,0.0,,,0.0
"2025-10-29 23:00:47",1,0.0,,,
"2025-10-29 23:00:55",1,100.0,,,100.0
"2025-10-30 03:00:15",1,100.0,,,100.0
"2025-10-30 03:00:54",1,0.0,,,0.0
"2025-10-30 07:00:13",1,0.0,,0.0,
"2025-10-30 07:00:28",1,100.0,,,100.0
"2025-10-30 07:00:45",1,100.0,,,100.0
"2025-10-30 11:00:03",2,50.0,,,50.0
"2025-10-30 11:00:04",2,100.0,,100.0,
"2025-10-30 11:00:05",1,100.0,,100.0,
"2025-10-30 11:00:12",1,100.0,,,100.0
"2025-10-30 11:00:17",1,100.0,,,100.0
"2025-10-30 11:00:18",1,0.0,,,0.0
"2025-10-30 11:00:23",1,100.0,,,
"2025-10-30 11:00:27",1,0.0,,,0.0
"2025-10-30 11:00:31",1,100.0,,100.0,
"2025-10-30 11:00:34",1,0.0,,0.0,
"2025-10-30 11:00:35",1,100.0,,,
"2025-10-30 11:00:36",2,50.0,0.0,0.0,100.0
"2025-10-30 11:00:42",1,100.0,,,
"2025-10-30 11:00:45",1,0.0,,0.0,
"2025-10-30 11:00:59",1,0.0,0.0,0.0,
"2025-10-30 15:00:07",1,100.0,,,100.0
"2025-10-30 15:00:09",1,100.0,,,
"2025-10-30 15:00:15",1,0.0,,,0.0
"2025-10-30 15:00:19",1,100.0,,,100.0
"2025-10-30 15:00:20",1,100.0,,,100.0
"2025-10-30 15:00:23",1,0.0,,,0.0
"2025-10-30 15:00:24",2,50.0,,,50.0
"2025-10-30 15:00:27",1,100.0,,,100.0
"2025-10-30 15:00:28",1,0.0,,,0.0
"2025-10-30 15:00:30",1,100.0,,,100.0
"2025-10-30 15:00:39",1,0.0,,,
"2025-10-30 15:00:44",2,50.0,,,50.0
"2025-10-30 15:00:48",1,0.0,,,0.0
"2025-10-30 15:00:57",1,100.0,,100.0,
"2025-10-30 19:00:00",2,100.0,,100.0,100.0
"2025-10-30 19:00:05",1,0.0,,,0.0
"2025-10-30 19:00:06",1,100.0,,,100.0
"2025-10-30 19:00:08",1,100.0,,,
"2025-10-30 19:00:27",2,50.0,,,50.0
"2025-10-30 19:00:29",1,100.0,,,
"2025-10-30 19:00:31",1,100.0,,,100.0
"2025-10-30 19:00:32",1,100.0,,,100.0
"2025-10-30 19:00:37",2,100.0,,,100.0
"2025-10-30 19:00:38",1,0.0,,,0.0
"2025-10-30 19:00:40",1,100.0,100.0,100.0,
"2025-10-30 19:00:48",1,0.0,,0.0,
"2025-10-30 19:00:54",1,100.0,,,100.0
"2025-10-30 19:00:58",1,0.0,,,0.0
"2025-10-30 23:00:02",1,0.0,,,0.0
"2025-10-30 23:00:03",1,100.0,,,
"2025-10-30 23:00:08",4,50.0,,,
"2025-10-30 23:00:12",1,0.0,,,0.0
"2025-10-30 23:00:15",1,100.0,100.0,100.0,
"2025-10-30 23:00:19",1,100.0,,,
"2025-10-30 23:00:21",1,0.0,,0.0,
"2025-10-30 23:00:22",2,100.0,,100.0,100.0
"2025-10-30 23:00:30",1,100.0,,,
"2025-10-30 23:00:31",2,0.0,,,
"2025-10-30 23:00:38",1,0.0,0.0,0.0,
"2025-10-30 23:00:48",1,100.0,100.0,100.0,
"2025-10-30 23:00:52",1,100.0,,,
"2025-10-31 03:00:07",1,0.0,,,0.0
"2025-10-31 03:00:13",1,100.0,,,100.0
"2025-10-31 03:00:34",1,100.0,,,
"2025-10-31 03:00:35",1,100.0,,,100.0
"2025-10-31 03:00:49",1,0.0,,,0.0
"2025-10-31 03:00:55",1,0.0,,,0.0
"2025-10-31 03:00:56",2,50.0,,,50.0
