ts_local             id    signal_type  direction  entry_price  tp_price         sl_price        exit_reason            
-------------------  ----  -----------  ---------  -----------  ---------------  --------------  -----------------------
2025-11-05 10:25:14  2598  HYBRID       short      101689.35    101554.40823255  101797.3440897  Price reached SL (-$40)
2025-11-05 10:23:18  2594  HYBRID       short      101636.95    101502.07776735  101744.8884409  Price reached SL (-$40)
2025-11-05 09:56:29  2585  HYBRID       short      102000.25    101864.89566825  102108.5742655  Price reached TP (+$50)
2025-11-05 09:24:26  2582  HYBRID       long       101792.65    101927.72884655  101684.5462057  Price reached TP (+$50)
2025-11-05 08:40:12  2578  HYBRID       short      101814.75    101679.64182675  101922.8772645  Price reached TP (+$50)
2025-11-05 08:15:00  2572  HYBRID       short      102209.05    102073.41859065  102317.5960111  Price reached TP (+$50)
2025-11-05 08:08:18  2569  HYBRID       short      102107.55    101972.05328115  102215.9882181  Price reached SL (-$40)
2025-11-05 07:53:43  2564  HYBRID       long       101878.75    102013.94310125  101770.5547675  Price reached TP (+$50)
2025-11-05 07:50:03  2561  HYBRID       long       102099.95    102235.43663365  101991.5198531  Price reached SL (-$40)
2025-11-05 07:36:58  2553  HYBRID       long       101776.55    101911.60748185  101668.4633039  Price reached TP (+$50)
2025-11-05 06:28:23  2542  HYBRID       long       101948.15    102083.43519505  101839.8810647  Price reached TP (+$50)
2025-11-05 05:43:36  2535  HYBRID       long       101594.95    101729.76649865  101487.0561631  Price reached TP (+$50)
2025-11-05 05:36:09  2532  HYBRID       short      101470.15    101335.49911095  101577.9112993  Price reached SL (-$40)
2025-11-05 04:39:33  2525  HYBRID       short      98966.75     98835.42112275   99071.8526885   Price reached SL (-$40)
2025-11-05 04:37:17  2519  HYBRID       short      99341.05     99209.22442665   99446.5501951   Price reached TP (+$50)
2025-11-05 04:33:27  2517  HYBRID       short      99040.05     98908.62385365   99145.2305331   Price reached SL (-$40)
2025-11-05 03:36:22  2510  HYBRID       long       100581.45    100714.92158415  100474.6325001  Price reached TP (+$50)
2025-11-05 03:34:47  2507  HYBRID       long       100795.25    100929.00529675  100688.2054445  Price reached SL (-$40)
2025-11-05 02:04:27  2503  HYBRID       short      101314.15    101179.70612295  101421.7456273  Price reached TP (+$50)
