quarter_range,loss,win,total,win_rate_%
00:00-00:15,1,1,2,50.0
00:15-00:30,2,1,3,33.33333333333333
00:30-00:45,2,4,6,66.66666666666666
00:45-01:00,1,2,3,66.66666666666666
01:00-01:15,3,2,5,40.0
01:15-01:30,1,3,4,75.0
01:30-01:45,1,3,4,75.0
01:45-02:00,0,1,1,100.0
02:00-02:15,1,2,3,66.66666666666666
02:30-02:45,1,1,2,50.0
02:45-03:00,1,2,3,66.66666666666666
03:00-03:15,3,4,7,57.14285714285714
03:15-03:30,1,1,2,50.0
03:30-03:45,4,3,7,42.857142857142854
03:45-04:00,3,1,4,25.0
04:00-04:15,0,1,1,100.0
04:15-04:30,0,1,1,100.0
04:30-04:45,3,3,6,50.0
05:00-05:15,2,3,5,60.0
05:15-05:30,0,1,1,100.0
05:30-05:45,1,4,5,80.0
05:45-06:00,0,2,2,100.0
06:00-06:15,1,0,1,0.0
06:15-06:30,3,1,4,25.0
06:30-06:45,0,1,1,100.0
06:45-07:00,4,1,5,20.0
07:00-07:15,3,1,4,25.0
07:15-07:30,5,2,7,28.57142857142857
07:30-07:45,0,1,1,100.0
07:45-08:00,3,5,8,62.5
08:00-08:15,7,2,9,22.22222222222222
08:15-08:30,9,6,15,40.0
08:30-08:45,2,5,7,71.42857142857143
08:45-09:00,3,2,5,40.0
09:00-09:15,3,5,8,62.5
09:15-09:30,5,6,11,54.54545454545454
09:30-09:45,1,4,5,80.0
09:45-10:00,3,8,11,72.72727272727273
10:00-10:15,6,1,7,14.285714285714285
10:15-10:30,7,11,18,61.111111111111114
10:30-10:45,5,4,9,44.44444444444444
10:45-11:00,4,0,4,0.0
11:00-11:15,8,5,13,38.46153846153847
11:15-11:30,6,3,9,33.33333333333333
11:30-11:45,3,6,9,66.66666666666666
11:45-12:00,1,3,4,75.0
12:00-12:15,5,5,10,50.0
12:15-12:30,4,5,9,55.55555555555556
12:30-12:45,3,8,11,72.72727272727273
12:45-13:00,7,3,10,30.0
13:00-13:15,4,2,6,33.33333333333333
13:15-13:30,5,4,9,44.44444444444444
13:30-13:45,2,3,5,60.0
13:45-14:00,5,4,9,44.44444444444444
14:00-14:15,2,7,9,77.77777777777779
14:15-14:30,0,4,4,100.0
14:30-14:45,6,1,7,14.285714285714285
14:45-15:00,1,5,6,83.33333333333334
15:00-15:15,3,7,10,70.0
15:15-15:30,6,6,12,50.0
15:30-15:45,2,7,9,77.77777777777779
15:45-16:00,5,2,7,28.57142857142857
16:00-16:15,3,8,11,72.72727272727273
16:15-16:30,6,2,8,25.0
16:30-16:45,3,5,8,62.5
16:45-17:00,11,5,16,31.25
17:00-17:15,5,5,10,50.0
17:15-17:30,7,6,13,46.15384615384615
17:30-17:45,3,5,8,62.5
17:45-18:00,1,5,6,83.33333333333334
18:00-18:15,2,6,8,75.0
18:15-18:30,4,4,8,50.0
18:30-18:45,5,5,10,50.0
18:45-19:00,6,6,12,50.0
19:00-19:15,8,6,14,42.857142857142854
19:15-19:30,5,1,6,16.666666666666664
19:30-19:45,2,3,5,60.0
19:45-20:00,0,1,1,100.0
20:00-20:15,5,3,8,37.5
20:15-20:30,4,8,12,66.66666666666666
20:30-20:45,6,6,12,50.0
20:45-21:00,2,2,4,50.0
21:00-21:15,5,6,11,54.54545454545454
21:15-21:30,6,3,9,33.33333333333333
21:30-21:45,4,8,12,66.66666666666666
21:45-22:00,4,7,11,63.63636363636363
22:00-22:15,4,6,10,60.0
22:15-22:30,6,4,10,40.0
22:30-22:45,8,6,14,42.857142857142854
22:45-23:00,1,4,5,80.0
23:00-23:15,5,9,14,64.28571428571429
23:15-23:30,1,3,4,75.0
23:30-23:45,3,2,5,40.0
23:45-00:00,0,2,2,100.0
