ts_local             id    signal_type  direction  entry_price  tp_price         sl_price        exit_reason            
-------------------  ----  -----------  ---------  -----------  ---------------  --------------  -----------------------
2025-11-29 15:15:22  7992  HYBRID       short      90606.05     90485.81577165   90702.2736251   Price reached TP (+$50)
2025-11-29 14:35:50  7988  HYBRID       long       90390.65     90510.59839255   90294.6551297   Price reached TP (+$50)
2025-11-29 14:20:56  7984  HYBRID       long       90494.25     90614.33586975   90398.1451065   Price reached SL (-$40)
2025-11-29 12:59:41  7980  HYBRID       short      90701.85     90581.48864505   90798.1753647   Price reached TP (+$50)
2025-11-29 12:02:24  7975  HYBRID       short      90809.85     90689.34532905   90906.2900607   Price reached TP (+$50)
2025-11-29 11:41:25  7971  HYBRID       short      90725.75     90605.35692975   90822.1007465   Price reached SL (-$40)
2025-11-29 11:07:23  7968  HYBRID       short      90608.85     90488.61205605   90705.0765987   Price reached SL (-$40)
2025-11-29 10:07:46  7965  HYBRID       short      90800.15     90679.65820095   90896.5797593   Price reached TP (+$50)
2025-11-29 09:34:01  7961  HYBRID       long       90572.65     90692.83990655   90476.4618457   Price reached TP (+$50)
2025-11-29 08:48:11  7956  HYBRID       short      90800.45     90679.95780285   90896.8800779   Price reached TP (+$50)
2025-11-29 08:20:01  7951  HYBRID       short      90917.75     90797.10214575   91014.3046505   Price reached TP (+$50)
2025-11-29 07:56:59  7948  HYBRID       short      90801.05     90680.55700665   90897.4807151   Price reached SL (-$40)
2025-11-29 02:25:54  7942  HYBRID       short      91116.05     90995.13900165   91212.8152451   Price reached TP (+$50)
2025-11-29 00:46:23  7938  HYBRID       short      90403.85     90283.88409105   90499.8588887   Price reached SL (-$40)
2025-11-28 23:00:24  7934  HYBRID       short      92312.15     92189.65177695   92410.1855033   Price reached TP (+$50)
2025-11-28 21:50:55  7925  HYBRID       short      92207.45     92085.09071385   92305.3743119   Price reached TP (+$50)
2025-11-28 21:38:01  7915  HYBRID       short      92500.35     92377.60203555   92598.5853717   Price reached TP (+$50)
2025-11-28 21:24:16  7910  HYBRID       short      92556.75     92433.92719275   92655.0452685   Price reached SL (-$40)
2025-11-28 21:11:16  7905  HYBRID       long       92177.15     92299.46907805   92079.2578667   Price reached TP (+$50)
2025-11-28 19:22:07  7891  HYBRID       short      91511.15     91389.71470395   91608.3348413   Price reached TP (+$50)
2025-11-28 19:16:47  7888  HYBRID       short      91403.75     91282.45722375   91500.8207825   Price reached SL (-$40)
