ts_local             id    signal_type  direction  entry_price  tp_price        sl_price        exit_reason            
-------------------  ----  -----------  ---------  -----------  --------------  --------------  -----------------------
2025-11-06 12:48:44  2857  INSTANT      short      102915.05    102869.5615479  102951.4819277                         
2025-11-06 12:46:24  2856  INSTANT      long       102999.95    103045.4759779  102963.4880177  Price reached SL (-$40)
2025-11-06 11:58:04  2852  INSTANT      short      103243.05    103197.4165719  103279.5980397  Price reached TP (+$50)
2025-11-06 11:53:22  2850  INSTANT      long       103088.95    103134.5153159  103052.4565117  Price reached TP (+$50)
2025-11-06 11:49:22  2849  INSTANT      short      103116.05    103070.4727059  103152.5530817  Price reached TP (+$50)
2025-11-06 11:45:22  2847  INSTANT      short      103120.05    103074.4709379  103156.5544977  Price reached TP (+$50)
2025-11-06 11:42:08  2846  INSTANT      long       103185.05    103230.6577921  103148.5224923  Price reached SL (-$40)
2025-11-06 11:27:08  2843  INSTANT      long       103284.15    103329.8015943  103247.5874109  Price reached SL (-$40)
2025-11-06 11:24:20  2841  INSTANT      long       103292.75    103338.4053955  103256.1843665  Price reached SL (-$40)
2025-11-06 11:21:42  2840  INSTANT      short      103309.65    103263.9871347  103346.2216161  Price reached SL (-$40)
2025-11-06 11:20:16  2838  INSTANT      long       103376.1     103421.7922362  103339.5048606  Price reached SL (-$40)
2025-11-06 10:40:24  2835  INSTANT      long       103090.45    103136.0159789  103053.9559807  Price reached SL (-$40)
2025-11-06 10:37:14  2833  INSTANT      long       103399.95    103445.6527779  103363.3464177  Price reached SL (-$40)
2025-11-06 10:36:49  2831  INSTANT      long       103284.05    103329.7015501  103247.4874463  Price reached TP (+$50)
2025-11-06 10:33:24  2829  INSTANT      short      103236.75    103191.1193565  103273.2958095  Price reached TP (+$50)
2025-11-06 10:30:34  2828  INSTANT      short      103313.65    103267.9853667  103350.2230321  Price reached SL (-$40)
2025-11-06 10:25:59  2826  INSTANT      short      103400.95    103355.2467801  103437.5539363  Price reached SL (-$40)
2025-11-06 10:23:29  2823  INSTANT      long       103187.05    103232.6586761  103150.5217843  Price reached TP (+$50)
2025-11-06 10:23:04  2821  INSTANT      long       103084.65    103130.2134153  103048.1580339  Price reached TP (+$50)
2025-11-06 10:21:34  2819  INSTANT      short      103002.05    102956.5230939  103038.5127257  Price reached SL (-$40)
2025-11-06 10:18:17  2815  INSTANT      short      102909.35    102863.8640673  102945.7799099  Price reached SL (-$40)
2025-11-06 10:17:25  2814  INSTANT      short      103013.45    102967.9180551  103049.9167613  Price reached TP (+$50)
2025-11-06 10:04:11  2812  INSTANT      short      103205.15    103159.5333237  103241.6846231  Price reached TP (+$50)
2025-11-06 10:01:31  2810  INSTANT      short      103312.25    103266.5859855  103348.8225365  Price reached TP (+$50)
2025-11-06 09:51:28  2809  INSTANT      short      103300.05    103254.3913779  103336.6182177  Price reached SL (-$40)
2025-11-06 09:45:16  2808  INSTANT      short      103316.45    103270.7841291  103353.0240233  Price reached SL (-$40)
2025-11-06 09:39:39  2807  INSTANT      short      103344.15    103298.4718857  103380.7338291  Price reached TP (+$50)
2025-11-06 09:39:14  2806  INSTANT      short      103427.55    103381.8350229  103464.1633527  Price reached TP (+$50)
2025-11-06 09:37:29  2805  INSTANT      short      103337.45    103291.7748471  103374.0314573  Price reached SL (-$40)
2025-11-06 09:35:28  2804  INSTANT      short      103313.65    103267.9853667  103350.2230321  Price reached SL (-$40)
2025-11-06 09:33:21  2803  INSTANT      short      103237.35    103191.7190913  103273.8960219  Price reached SL (-$40)
2025-11-06 09:33:05  2801  INSTANT      short      103327.75    103282.0791345  103364.3280235  Price reached TP (+$50)
2025-11-06 09:32:46  2799  INSTANT      short      103362.65    103316.9637087  103399.2403781  Price reached TP (+$50)
2025-11-06 09:31:59  2798  INSTANT      short      103419.55    103373.8385589  103456.1605207  Price reached TP (+$50)
2025-11-06 09:31:27  2797  INSTANT      short      103526.55    103480.7912649  103563.1983987  Price reached TP (+$50)
2025-11-06 09:26:31  2796  INSTANT      short      103431.55    103385.8332549  103468.1647687  Price reached TP (+$50)
2025-11-06 09:25:51  2795  INSTANT      short      103403.65    103357.9455867  103440.2548921  Price reached SL (-$40)
2025-11-06 09:23:26  2793  INSTANT      short      103444.75    103399.0274205  103481.3694415  Price reached TP (+$50)
2025-11-06 09:22:01  2791  INSTANT      short      103406.05    103360.3445259  103442.6557417  Price reached SL (-$40)
2025-11-06 09:20:51  2790  INSTANT      short      103304.45    103258.7894331  103341.0197753  Price reached SL (-$40)
2025-11-06 09:19:28  2787  INSTANT      short      103319.45    103273.7828031  103356.0250853  Price reached TP (+$50)
2025-11-06 09:15:59  2785  INSTANT      short      103301.75    103256.0906265  103338.3188195  Price reached TP (+$50)
2025-11-06 09:12:28  2782  INSTANT      short      103209.05    103163.4315999  103245.5860037  Price reached TP (+$50)
2025-11-06 09:09:09  2781  INSTANT      short      103033.05    102987.5093919  103069.5236997  Price reached TP (+$50)
2025-11-06 08:47:59  2778  INSTANT      short      103200.95    103155.3351801  103237.4831363  Price reached TP (+$50)
2025-11-06 08:19:56  2775  INSTANT      short      103509.55    103463.7987789  103546.1923807  Price reached SL (-$40)
2025-11-06 08:15:43  2774  INSTANT      short      103414.45    103368.7408131  103451.0587153  Price reached SL (-$40)
2025-11-06 08:13:43  2772  INSTANT      short      103418.95    103373.2388241  103455.5603083  Price reached SL (-$40)
2025-11-06 08:11:51  2771  INSTANT      short      103427.25    103381.5351555  103463.8632465  Price reached TP (+$50)
2025-11-06 08:11:04  2768  INSTANT      short      103636.55    103590.7426449  103673.2373387  Price reached TP (+$50)
2025-11-06 08:09:43  2766  INSTANT      short      103604.85    103559.0566563  103641.5261169  Price reached SL (-$40)
2025-11-06 08:01:51  2764  INSTANT      short      103925.95    103880.0147301  103962.7397863  Price reached TP (+$50)
2025-11-06 07:59:44  2762  INSTANT      short      104012.75    103966.7763645  104049.5705135  Price reached TP (+$50)
2025-11-06 07:36:58  2760  INSTANT      short      103645.65    103599.8386227  103682.3405601  Price reached SL (-$40)
2025-11-06 07:35:33  2759  INSTANT      short      103736.75    103690.8983565  103773.4728095  Price reached TP (+$50)
2025-11-06 07:33:58  2758  INSTANT      short      103709.65    103663.8103347  103746.3632161  Price reached SL (-$40)
2025-11-06 07:30:03  2757  INSTANT      short      103720.05    103674.2057379  103756.7668977  Price reached TP (+$50)
2025-11-06 07:26:04  2755  INSTANT      short      103741.05    103695.1964559  103777.7743317  Price reached TP (+$50)
2025-11-06 06:48:30  2752  INSTANT      short      103631.85    103586.0447223  103668.5356749  Price reached TP (+$50)
2025-11-06 06:42:23  2751  INSTANT      short      103609.15    103563.3547557  103645.8276391  Price reached SL (-$40)
2025-11-06 06:39:29  2749  INSTANT      short      103717.35    103671.5069313  103754.0659419  Price reached TP (+$50)
2025-11-06 05:40:36  2746  INSTANT      long       103294.65    103340.3062353  103258.0836939  Price reached TP (+$50)
2025-11-06 05:33:47  2743  INSTANT      long       103069.15    103114.7065643  103032.6635209  Price reached TP (+$50)
2025-11-06 05:29:16  2741  INSTANT      short      102938.05    102892.5513819  102974.4900697  Price reached TP (+$50)
2025-11-06 05:09:53  2739  INSTANT      short      103200.05    103154.4355779  103236.5828177  Price reached TP (+$50)
2025-11-06 04:41:49  2736  INSTANT      short      103305.15    103259.4891237  103341.7200231  Price reached SL (-$40)
2025-11-06 03:58:21  2733  INSTANT      long       103596.55    103642.3396751  103559.8768213  Price reached SL (-$40)
2025-11-06 03:47:59  2730  INSTANT      long       103390.85    103436.5487557  103354.2496391  Price reached TP (+$50)
2025-11-06 03:09:32  2729  INSTANT      long       103579.95    103625.7323379  103543.2826977  Price reached TP (+$50)
2025-11-06 03:07:10  2727  INSTANT      long       103467.05    103512.7824361  103430.4226643  Price reached TP (+$50)
2025-11-06 02:59:29  2724  INSTANT      short      103818.45    103772.5622451  103855.2017313  Price reached TP (+$50)
2025-11-06 02:55:27  2721  INSTANT      short      103807.25    103761.3671955  103843.9977665  Price reached SL (-$40)
2025-11-06 02:45:42  2719  INSTANT      short      104017.25    103971.2743755  104054.0721065  Price reached TP (+$50)
2025-11-06 02:27:07  2716  INSTANT      long       103887.05    103932.9680761  103850.2739843  Price reached TP (+$50)
2025-11-06 02:15:32  2714  INSTANT      long       103775.65    103821.5188373  103738.9134199  Price reached TP (+$50)
2025-11-06 02:09:27  2713  INSTANT      long       103699.95    103745.7853779  103663.2402177  Price reached TP (+$50)
2025-11-06 01:15:14  2709  INSTANT      short      103310.95    103265.2865601  103347.5220763  Price reached SL (-$40)
2025-11-06 01:04:19  2706  INSTANT      short      103410.65    103364.9424927  103447.2573701  Price reached TP (+$50)
2025-11-06 00:50:34  2704  INSTANT      long       103598.15    103643.9403823  103561.4762549  Price reached TP (+$50)
2025-11-06 00:41:14  2702  INSTANT      short      103608.95    103563.1548441  103645.6275683  Price reached TP (+$50)
2025-11-05 23:58:36  2700  INSTANT      short      103811.65    103765.7652507  103848.3993241  Price reached TP (+$50)
2025-11-05 23:56:27  2699  INSTANT      short      103942.35    103896.4074813  103979.1455919  Price reached TP (+$50)
2025-11-05 23:51:42  2697  INSTANT      short      103825.25    103779.3592395  103862.0041385  Price reached TP (+$50)
2025-11-05 22:33:20  2695  INSTANT      short      104237.95    104191.8768261  104274.8502343  Price reached SL (-$40)
2025-11-05 22:28:16  2694  INSTANT      short      104220.75    104174.6844285  104257.6441455  Price reached TP (+$50)
2025-11-05 22:04:36  2693  INSTANT      short      104208.95    104162.8896441  104245.8399683  Price reached TP (+$50)
2025-11-05 21:47:43  2691  INSTANT      long       104276.35    104322.4401467  104239.4361721  Price reached TP (+$50)
2025-11-05 21:46:39  2689  INSTANT      long       104153.15    104199.1856923  104116.2797849  Price reached TP (+$50)
2025-11-05 21:45:39  2687  INSTANT      short      104053.65    104007.6582867  104090.4849921  Price reached SL (-$40)
2025-11-05 21:36:29  2684  INSTANT      long       104166.95    104212.9917919  104130.0748997  Price reached SL (-$40)
2025-11-05 21:34:13  2683  INSTANT      short      104002.45    103956.4809171  104039.2668673  Price reached SL (-$40)
2025-11-05 21:32:58  2682  INSTANT      long       103966.95    104012.9033919  103930.1456997  Price reached TP (+$50)
2025-11-05 21:31:48  2680  INSTANT      short      104013.05    103967.0762319  104049.8706197  Price reached TP (+$50)
2025-11-05 21:28:04  2679  INSTANT      long       103974.95    104020.9069279  103938.1428677  Price reached TP (+$50)
2025-11-05 21:26:58  2678  INSTANT      long       104078.85    104124.8528517  104042.0060871  Price reached SL (-$40)
2025-11-05 21:23:53  2677  INSTANT      short      103900.05    103854.1261779  103936.8306177  Price reached SL (-$40)
